Estado civil,Nacionalidade,Migração,Sexo,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Período,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sem avaliações),Target
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Superior - Licenciatura,Outro - 11º ano de escolaridade,Técnicos de Nível Intermediário e Profissões Técnicas,Profissões das Forças Armadas,Não,Não,Sim,Não,11.1,0.6,2.02,1,1,Serviço Social,Diurno,Educação secundária,0,6,6,6,12.166666666666666,0,0,6,7,6,12.142857142857142,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,Pessoal Administrativo,Não,Não,Sim,Não,12.7,3.7,-1.7,1,1,Enfermagem,Diurno,Educação secundária,0,8,8,7,14.014285714285714,0,0,8,8,7,14.014285714285714,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,Profissões das Forças Armadas,Sim,Não,Sim,Não,12.7,3.7,-1.7,17,2,Serviço Social,Diurno,Educação secundária,0,6,15,2,10.333333333333334,3,0,6,13,3,13.333333333333334,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,22,Não,Educação Secundária,Outro - 11º ano de escolaridade,Trabalhadores Não Qualificados,Profissões das Forças Armadas,Não,Não,Sim,Sim,12.4,0.5,1.79,1,4,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,7,5,13.2,0,0,6,7,5,13.6,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Sim,Sim,Não,7.6,2.6,0.32,1,1,Enfermagem,Diurno,Educação secundária,0,7,7,6,15.4,0,0,7,7,6,15.4,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,13.9,-0.3,0.79,17,4,Enfermagem,Diurno,Educação secundária,0,7,7,7,13.385714285714286,0,0,8,8,8,15.925,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Superior - Bacharel,Educação Secundária,Especialistas em Atividades Intelectuais e Científicas,Pessoal Administrativo,Não,Sim,Sim,Não,15.5,2.8,-4.06,1,1,Zootecnia,Diurno,Educação secundária,0,6,13,6,10.857142857142858,0,0,6,10,4,11.0,0,Desistente
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,13.9,-0.3,0.79,17,2,Gestão,Diurno,Educação secundária,0,5,11,5,11.333333333333334,0,0,5,8,5,12.0,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,10.8,1.4,1.74,1,4,Enfermagem Veterinária,Diurno,Educação secundária,0,5,7,4,14.5,0,0,5,5,5,13.6,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,10.8,1.4,1.74,1,2,Design de Comunicação,Diurno,Educação secundária,0,6,6,6,14.166666666666666,0,0,6,8,6,12.375,0,Graduado
Solteiro,Portuguesa,Não,Feminino,24,Não,Desconhecido,Desconhecido,Estudante,Estudante,Não,Não,Sim,Não,7.6,2.6,0.32,17,1,Serviço Social (noturno),Noturno,Educação secundária,0,6,7,6,12.833333333333334,0,0,6,8,6,12.0,0,Graduado
Solteiro,Portuguesa,Não,Feminino,21,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,Pessoal Administrativo,Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Serviço Social,Diurno,Educação secundária,0,6,7,6,13.333333333333334,0,0,6,6,6,14.5,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Secundária,Educação Secundária,Técnicos de Nível Intermediário e Profissões Técnicas,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Sim,11.1,0.6,2.02,1,1,Serviço Social,Diurno,Educação secundária,0,6,7,6,13.666666666666666,0,0,6,7,6,14.571428571428571,0,Graduado
Solteiro,Portuguesa,Não,Feminino,28,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Não,Sim,13.9,-0.3,0.79,39,1,Turismo,Diurno,Educação secundária,0,6,6,6,10.833333333333334,0,0,6,7,5,11.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,21,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,7.6,2.6,0.32,1,2,Educação Básica,Diurno,Educação secundária,0,6,7,6,13.428571428571429,0,0,6,8,6,13.142857142857142,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,20,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores de Limpeza,"Agricultores, criadores de animais, pescadores, caçadores e coletores, subsistência",Não,Sim,Sim,Não,11.1,0.6,2.02,1,1,Enfermagem,Diurno,Educação secundária,0,7,7,7,12.401428571428571,0,0,8,10,6,11.808333333333332,0,Matriculado
Solteiro,Portuguesa,Não,Masculino,36,Não,Educação Superior - Bacharel,Educação Superior - Licenciatura,Especialistas em Atividades Intelectuais e Científicas,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Não,Não,16.2,0.3,-0.92,42,1,Agronomia,Diurno,Educação secundária,0,6,8,0,0.0,0,0,6,10,0,0.0,0,Desistente
Casado,Portuguesa,Não,Masculino,42,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Não,Não,12.7,3.7,-1.7,39,1,Gestão (noturno),Noturno,Educação secundária,0,4,4,0,0.0,0,0,5,0,0,0.0,0,Desistente
Casado,Portuguesa,Não,Masculino,47,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,7.6,2.6,0.32,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,9,4,11.5,0,0,5,6,5,11.6,1,Desistente
Solteiro,Portuguesa,Não,Masculino,25,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Não,Não,9.4,-0.8,-3.12,39,1,Engenharia da computação,Diurno,Educação secundária,0,5,8,0,0.0,0,0,5,5,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,25,Não,Educação Secundária,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Sim,15.5,2.8,-4.06,39,1,Gestão de Publicidade e Marketing,Diurno,Outro - 11º ano de escolaridade,0,6,8,6,14.142857142857142,0,0,6,6,6,13.5,0,Graduado
Casado,Portuguesa,Não,Masculino,48,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,12.4,0.5,1.79,39,1,Serviço Social (noturno),Noturno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,0,6,6,0,0.0,0,0,5,6,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,32,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,10.8,1.4,1.74,43,1,Gestão (noturno),Noturno,Educação secundária,5,10,12,10,13.8,0,5,10,10,10,12.8,0,Graduado
Solteiro,Portuguesa,Não,Masculino,38,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,8.9,1.4,3.51,7,1,Gestão (noturno),Noturno,Educação superior - licenciatura (1º ciclo),10,10,10,10,13.6,0,5,10,10,5,13.6,0,Desistente
Solteiro,Portuguesa,Não,Masculino,37,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,15.5,2.8,-4.06,7,1,Serviço Social,Diurno,Educação superior - licenciatura (1º ciclo),11,16,23,15,11.733333333333333,0,6,11,17,9,11.88888888888889,0,Graduado
Solteiro,Portuguesa,Não,Masculino,26,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Não,Não,10.8,1.4,1.74,39,2,Gestão,Diurno,Educação secundária,0,5,8,1,10.0,0,0,5,9,1,10.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,23,Não,Educação Superior - Bacharel,Educação Superior - Doutorado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,Não,Não,Sim,Não,13.9,-0.3,0.79,44,1,Enfermagem Veterinária,Diurno,Curso de especialização tecnológica,0,6,19,0,0.0,0,0,6,6,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,23,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,15.5,2.8,-4.06,44,1,Agronomia,Diurno,Curso de especialização tecnológica,0,6,6,0,0.0,0,0,6,8,0,0.0,0,Matriculado
Solteiro,Portuguesa,Não,Masculino,20,Não,Educação Superior - Licenciatura,Educação Superior - Bacharel,Trabalhadores Não Qualificados,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,12.4,0.5,1.79,44,1,Agronomia,Diurno,Curso de especialização tecnológica,0,6,12,4,10.8,0,0,6,13,4,12.0,0,Matriculado
Solteiro,Portuguesa,Sim,Masculino,26,Não,Educação Superior - Bacharel,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,11.1,0.6,2.02,39,1,Enfermagem,Diurno,Educação superior - mestrado,2,7,8,6,13.046666666666669,0,2,8,10,7,13.30625,0,Desistente
Solteiro,Portuguesa,Não,Feminino,45,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,12.7,3.7,-1.7,43,1,Serviço Social (noturno),Noturno,Educação secundária,5,9,13,8,11.0,0,3,7,10,6,10.833333333333334,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,26,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Sim,7.6,2.6,0.32,39,1,Serviço Social (noturno),Noturno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,0,6,10,3,12.333333333333334,0,0,6,14,3,11.666666666666666,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,26,Não,12º ano de escolaridade - Não concluído,12º ano de escolaridade - Não concluído,Outras Situações,Outra Situação,Não,Não,Sim,Não,7.6,2.6,0.32,43,1,Serviço Social (noturno),Noturno,Educação superior - licenciatura,8,11,16,10,11.8,0,3,7,7,7,13.285714285714286,0,Graduado
Solteiro,Portuguesa,Não,Feminino,25,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,10.8,1.4,1.74,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,8,3,11.0,0,0,5,8,3,11.25,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,Pessoal Administrativo,Não,Não,Sim,Não,9.4,-0.8,-3.12,16,4,Enfermagem,Diurno,Educação secundária,0,8,8,8,13.11,0,0,8,8,8,13.11,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,27,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,12.7,3.7,-1.7,7,1,Enfermagem,Diurno,Educação superior - licenciatura,0,8,8,7,14.414285714285716,0,0,8,8,7,14.414285714285716,0,Graduado
Legalmente Separado,Portuguesa,Não,Feminino,24,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Outra Situação,Não,Não,Não,Não,10.8,1.4,1.74,17,3,Serviço Social (noturno),Noturno,Educação secundária,0,5,5,0,0.0,0,0,5,10,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Profissões das Forças Armadas,Não,Não,Sim,Não,15.5,2.8,-4.06,17,1,Gestão,Diurno,Educação secundária,0,5,8,5,12.333333333333334,0,0,5,7,5,12.2,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Sim,15.5,2.8,-4.06,1,1,Enfermagem,Diurno,Educação secundária,0,7,9,0,0.0,0,0,7,8,1,10.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,12.7,3.7,-1.7,17,6,Odontologia,Diurno,Educação secundária,0,7,9,7,14.1,0,0,8,8,8,13.3125,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,9.4,-0.8,-3.12,1,4,Enfermagem,Diurno,Educação secundária,0,8,8,8,13.045,0,0,8,8,8,13.045,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,9.4,-0.8,-3.12,1,1,Enfermagem,Diurno,Educação secundária,0,8,10,5,12.858,3,0,8,10,5,12.858,3,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,Pessoal Administrativo,Não,Não,Sim,Sim,9.4,-0.8,-3.12,42,3,Enfermagem,Diurno,Educação secundária,0,8,8,8,14.2525,0,0,8,8,8,14.2525,0,Graduado
Solteiro,Portuguesa,Não,Feminino,19,Não,Outro - 11º ano de escolaridade,Educação Secundária,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Profissões das Forças Armadas,Não,Não,Sim,Sim,12.4,0.5,1.79,1,4,Enfermagem,Diurno,Educação secundária,0,7,9,5,14.06,0,0,7,9,7,11.242857142857142,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,10.8,1.4,1.74,1,4,Enfermagem,Diurno,Educação secundária,0,8,8,7,15.075714285714286,0,0,8,8,7,15.075714285714286,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.7,3.7,-1.7,17,2,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Superior - Bacharel,Educação Superior - Bacharel,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,12.7,3.7,-1.7,43,2,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,5,5,4,13.75,0,0,6,9,5,12.6,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,23,Não,Educação Secundária,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,Trabalhadores Não Qualificados,Não,Não,Sim,Não,15.5,2.8,-4.06,7,0,Agronomia,Diurno,Educação superior - licenciatura,10,17,28,17,13.15,2,8,12,22,12,13.214285714285714,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,21,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,13.9,-0.3,0.79,1,2,Serviço Social,Diurno,Educação secundária,0,6,9,5,12.333333333333334,0,0,6,7,5,11.8,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,16.2,0.3,-0.92,1,3,Enfermagem,Diurno,Educação secundária,0,7,8,7,13.778571428571428,0,0,8,10,8,13.122222222222222,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Desconhecido,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Sim,Não,Não,10.8,1.4,1.74,1,1,Educação Básica,Diurno,Educação secundária,0,6,12,3,10.333333333333334,0,0,6,14,1,11.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,23,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,16.2,0.3,-0.92,43,1,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,11,3,11.333333333333334,0,0,6,7,2,11.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Serviço Social,Diurno,Educação secundária,0,6,7,5,13.2,0,0,6,6,6,12.666666666666666,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,13.9,-0.3,0.79,1,1,Design de Comunicação,Diurno,Educação secundária,1,6,8,6,13.571428571428571,1,0,6,11,6,12.375,0,Graduado
Solteiro,Portuguesa,Não,Feminino,29,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,9.4,-0.8,-3.12,1,1,Serviço Social (noturno),Noturno,Educação secundária,8,11,14,11,12.75,0,3,7,7,7,13.428571428571429,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,28,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Secundária,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Pessoal Administrativo,Não,Não,Sim,Não,7.6,2.6,0.32,39,1,Jornalismo e Comunicação,Diurno,12º ano de escolaridade - não concluído,0,6,11,3,13.0,0,0,6,15,1,12.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,9.4,-0.8,-3.12,1,3,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,5,7,3,11.333333333333334,0,0,5,7,4,11.0,0,Matriculado
Solteiro,Portuguesa,Não,Masculino,24,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Não,Não,10.8,1.4,1.74,39,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,12,0,0.0,0,0,6,9,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,33,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Sim,Sim,15.5,2.8,-4.06,39,1,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Não,Não,9.4,-0.8,-3.12,17,1,Gestão,Diurno,Educação secundária,0,5,7,2,12.5,0,0,5,13,1,11.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,19,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,11.1,0.6,2.02,1,1,Enfermagem Veterinária,Diurno,Educação secundária,0,6,7,6,14.857142857142858,0,0,6,8,6,14.142857142857142,0,Graduado
Divorciado,Portuguesa,Não,Masculino,37,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,12.7,3.7,-1.7,39,1,Serviço Social (noturno),Noturno,Educação secundária,3,9,13,8,12.0,0,2,7,8,7,11.571428571428571,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Sim,Não,Sim,12.7,3.7,-1.7,1,1,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
Divorciado,Portuguesa,Não,Masculino,29,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,7.6,2.6,0.32,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Matriculado
Casado,Portuguesa,Não,Masculino,37,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,13.9,-0.3,0.79,39,1,Enfermagem,Diurno,Educação básica 2º ciclo (6º/7º/8º ano) ou equivalente,0,7,8,7,12.828571428571427,0,0,8,8,8,12.6875,0,Graduado
